Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,Qty-1,Qty-5,Qty-25,Part References,Value
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,9,45,225,"AGND1, AGND2, AGND3, AGND4, DGND1, DGND2, DGND3, DGND4, DGND5",
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,6,30,150,"JP13, JP14, JP15, JP16, JP17, JP18",
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,1,5,25,"JP3",
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,1,5,25,"JP12",
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,1,5,25,"JP1",
*DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,*,1,5,25,"JP5",
1N4148,ON Semi,DK,1N4148FS-ND,DIODE GEN PURP 100V 200MA DO35,TH,1,5,25,"D1",
67996-108HLF,Amphenol,DK,609-3203-ND,CONN HEADER VERT 8POS 2.54MM,TH,1,5,25,"JP6",
67996-120HLF,Amphenol,DK,609-3206-ND,CONN HEADER VERT 20POS 2.54MM,TH,1,5,25,"JP2",
67996-130HLF,Amphenol,DK,609-4504-ND,CONN RCPT 30POS 0.1 GOLD PCB,TH,1,5,25,"JP4",
151031SS04000,Wurth,DK,732-5005-ND,Red 635nm LED Indication - Discrete 2V Radial,TH,5,25,125,"LED1, LED2, LED3, LED4, LED5",
292303-1,TE,DK,A31726-ND,CONN USB RECEPT R/A TYPE A 4POS,TH,1,5,25,"X2",
SJ1-3525N,CUI,DK,CP1-3525N-ND,CONN JACK STEREO 3.5MM R/A,TH,3,15,75,"JP7, JP8, JP10",
K104K15X7RF5TL2,Vishay,DK,BC1084CT-ND,CAP CER 0.1UF 50V X7R RADIAL,TH,3,15,75,"C1, C2, C3",0.1uf
K103K15X7RF5TL2,Vishay,DK,BC1078CT-ND,CAP CER 10000PF 50V X7R RADIAL,TH,12,60,300,"C4, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",0.01uf
RNMF14FTC1K00,Stackpole,DK,S1KCACT-ND,RES 1K OHM 1/4W 1% AXIAL,TH,1,5,25,"R1",1k
RNMF14FTC4K70,Stackpole,DK,S4.7KCACT-ND,RES 4.7K OHM 1/4W 1% AXIAL,TH,1,5,25,"R2",4.7k
6N138,Lite-On,DK,160-1795-ND,OPTOISO 5KV DARL W/BASE 8DIP,8DIP,1,5,25,"IC5",6N138
RNMF14FTC10K0,Stackpole,DK,S10KCACT-ND,RES 10K OHM 1/4W 1% AXIAL,TH,4,20,100,"R4, R6, R8, R10",10k
293D106X9035C2TE3,Vishay,DK,718-1052-1-ND,CAP TANT 10UF 10% 35V 2312,2312 - SMC_C,1,5,25,"C5",10uf_50v
RNMF14FTC22K0,Stackpole,DK,S22KCACT-ND,RES 22K OHM 1/4W 1% AXIAL,TH,2,10,50,"R9, R11",22k
T491C226K016AT,KEMET,DK,399-3744-1-ND,CAP TANT 22UF 10% 16V 2312,2312 - SMC_C,1,5,25,"C6",22uf_10v
RNMF14FTC39K0,Stackpole,DK,S39KCACT-ND,RES 39K OHM 1/4W 1% AXIAL,TH,2,10,50,"R5, R7",40k
RNMF14FTC82R0,Stackpole,DK,S82CACT-ND,RES 82 OHM 1/4W 1% AXIAL,TH,2,10,50,"R16, R17",82R
RNMF14FTC82R0,Stackpole,DK,S82CACT-ND,RES 82 OHM 1/4W 1% AXIAL,TH,3,15,75,"R12, R18, R19",82R
RNMF14FTC220R,Stackpole,DK,S220CACT-ND,RES 220 OHM 1/4W 1% AXIAL,TH,1,5,25,"R3",220R
VX7805-1000,CUI,DK,102-4253-ND,DC DC CONVERTER 5V 5W,TH,1,5,25,"IC2",7805TV
AD8659ARZ-R7,Analog Devices,DK,AD8659ARZ-R7CT-ND,IC OPAMP GP 4 CIRCUIT 14SO,SOIC14,3,15,75,"IC1, IC3, IC4",AD8659
PJ-058AH,CUI,DK,CP-058AH-ND,CONN PWR JACK 2X5.5MM SOLDER,TH,1,5,25,"X1",PJ-059B
*** ERROR - PART '*' NOT FOUND FOR: "P1, P2, P3, P4, P5, P6"
TL52AF160Q,E-Switch,DK,EG4673CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,TH,2,10,50,"S1, S2",TL52_PLUS
