Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Vocodec_rev2_2.brd" as of: 1/8/19 3:41 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,1.580,1.433,0
C2,Bottom,3.100,3.612,0
C3,Top,3.100,0.475,270
C4,Bottom,1.562,3.612,0
C5,Top,3.425,2.237,90
C6,Top,2.987,2.138,180
C7,Top,3.087,0.900,0
C8,Bottom,1.700,3.875,0
C9,Bottom,1.387,3.875,0
C10,Bottom,1.573,1.330,0
C11,Bottom,3.098,3.515,0
C12,Bottom,0.975,2.987,180
C13,Bottom,2.965,4.600,270
C14,Top,2.025,4.000,180
C15,Bottom,1.688,4.025,180
C16,Bottom,1.387,4.025,180
C17,Bottom,2.837,2.562,0
C18,Bottom,3.587,2.562,0
C19,Bottom,0.887,3.325,0
C20,Top,1.163,3.500,0
C21,Top,0.300,3.550,270
C22,Top,0.350,3.700,0
C23,Top,0.700,3.700,180
C24,Top,0.500,3.700,180
C25,Bottom,0.688,4.062,90
C26,Top,0.450,0.850,180
C27,Bottom,3.053,4.005,180
C28,Bottom,2.188,3.625,0
C29,Bottom,2.663,3.625,180
C30,Bottom,2.272,4.600,90
C31,Bottom,2.625,4.598,270
C32,Bottom,1.560,3.525,0
C34,Top,1.425,4.300,270
C35,Bottom,2.050,2.587,0
C36,Bottom,2.050,2.487,0
C37,Top,0.950,1.525,180
C38,Bottom,2.822,2.473,0
C40,Top,1.200,4.263,90
C41,Top,0.950,1.425,0
C42,Bottom,3.585,2.458,0
C44,Top,0.637,4.412,270
C45,Top,0.818,0.802,270
C46,Top,3.547,1.637,0
C47,Top,3.585,0.835,0
C48,Top,2.998,1.732,0
C49,Top,2.985,2.042,0
C50,Top,1.288,3.188,90
C51,Top,2.575,1.900,0
C52,Top,2.075,1.938,270
D1,Top,2.075,1.675,180
D2,Top,3.275,2.737,90
D3,Top,3.587,2.000,180
D4,Top,3.763,2.125,0
D5,Top,3.425,2.025,270
D6,Top,2.350,2.188,0
D7,Top,3.212,2.600,0
D9,Top,2.612,2.050,0
D10,Top,1.188,3.675,180
D11,Top,0.963,3.700,180
D14,Top,3.837,1.163,90
D15,Top,1.188,1.012,0
D16,Top,0.662,1.913,0
IC1,Top,2.337,1.900,90
IC2,Top,3.225,2.300,270
IC4,Top,3.100,0.700,0
IC5,Top,3.062,1.895,90
IC13,Top,0.500,4.050,90
LED1,Top,3.962,2.600,0
LED2,Top,3.962,2.163,0
LED4,Top,3.288,4.925,270
LED5,Top,3.825,3.400,0
LED6,Top,4.188,3.062,0
LED7,Top,3.913,3.062,0
LED8,Top,0.325,3.350,0
LED9,Top,2.388,1.562,90
LED10,Top,0.300,2.325,0
LED11,Top,0.300,1.438,0
LED12,Top,0.463,1.438,0
LED13,Top,0.463,2.325,0
LED14,Top,4.275,0.700,180
LED15,Top,4.112,1.575,0
LED16,Top,4.275,1.575,180
LED17,Top,4.112,0.700,180
R1,Top,0.613,2.737,270
R2,Bottom,3.087,3.425,180
R3,Bottom,1.550,3.413,180
R4,Top,2.300,0.863,90
R5,Top,1.320,4.900,0
R6,Top,1.320,4.800,0
R7,Top,3.303,1.965,270
R8,Top,3.308,1.835,90
R9,Top,0.700,3.550,0
R10,Bottom,1.552,1.205,180
R11,Top,3.938,2.800,0
R12,Top,0.500,3.550,0
R13,Top,0.430,4.520,270
R14,Top,0.925,0.800,90
R15,Top,0.988,1.663,90
R16,Top,1.188,1.300,180
R17,Bottom,2.812,2.375,180
R18,Bottom,3.575,2.362,180
R19,Top,1.320,4.700,0
R20,Top,1.290,4.570,0
R21,Top,1.020,4.360,0
R22,Top,2.842,1.885,90
R23,Top,0.250,4.100,90
R24,Top,2.212,4.088,90
R25,Top,2.337,4.088,90
R26,Top,2.840,2.022,90
R27,Top,3.553,1.825,180
R28,Top,3.553,1.735,180
R29,Top,3.547,1.542,0
R30,Top,3.585,0.708,0
R31,Top,3.590,0.927,180
R32,Top,3.590,1.025,180
R33,Top,0.620,4.580,270
R34,Top,0.350,4.940,90
R35,Top,0.460,4.940,90
R36,Top,0.580,4.940,90
R37,Top,0.708,4.960,180
R38,Top,1.157,4.973,0
R39,Top,3.732,1.670,180
R40,Top,4.312,1.123,270
R41,Top,3.743,0.820,270
R42,Top,0.463,2.750,180
R43,Top,0.787,3.112,0
R44,Top,0.787,3.212,0
R45,Top,0.475,3.362,270
R46,Top,2.900,0.500,0
R47,Top,3.250,0.487,180
R48,Top,3.288,0.925,0
R49,Top,3.375,1.038,180
R50,Top,3.325,0.762,270
R51,Top,2.812,0.863,0
R52,Top,2.800,0.600,180
R53,Top,3.950,2.400,0
R54,Top,3.487,4.912,90
R55,Top,3.675,3.425,0
R56,Top,4.150,3.212,0
R57,Top,3.750,3.100,0
R58,Top,2.200,1.562,0
R59,Top,0.600,1.488,180
R60,Top,0.537,2.538,270
R61,Top,3.975,1.600,0
R62,Top,3.962,0.650,0
R63,Bottom,2.050,2.388,180
R65,Top,4.312,1.260,90
T1,Top,3.748,0.680,270
T2,Top,0.350,2.050,90
T3,Top,0.775,1.400,90
T14,Top,3.760,1.530,270
